R	2_bonds	no_bonds	303_350
0.05	0.0	0.0	0.0
0.15	0.0	0.0	0.0
0.25	0.0	0.0	0.0
0.35	0.0	0.0	0.0
0.45	0.0	0.0	0.0
0.55	0.0	0.0	0.0
0.65	0.0	0.0	0.0
0.75	0.0	0.0	0.0
0.85	0.0	0.0	0.0
0.95	0.0	0.0	0.0
1.05	0.0	0.0	0.0
1.15	0.0	0.0	0.0
1.25	0.0	0.0	0.0
1.35	0.0	0.0	0.0
1.45	0.0	0.0	0.0
1.55	0.0	0.0	0.0
1.65	0.0	0.0	0.0
1.75	0.0	0.0	0.0
1.85	10.67908247705731	0.0	0.0
1.95	19.194475992284367	0.0	0.0
2.05	8.693619782437269	0.0	0.0
2.15	7.898036928535387	0.0	0.0
2.25	0.0	0.0	0.0
2.35	0.0	0.0	0.0
2.45	6.08249706822797	0.0	0.0
2.55	11.237975367323806	0.0	0.0
2.65	10.404239777799129	0.0	0.0
2.75	14.480375029326158	4.499908297859553	0.0
2.85	26.97750395602658	0.0	0.0
2.95	33.56281482920348	7.81426819559075	0.0
3.05	23.563167797413307	0.0	0.0
3.15	18.386008046108277	0.0	11.01304233142988
3.25	34.55225197095356	3.2219286613579414	6.8960490939552335
3.35	39.036753722334694	12.100922406640684	0.0
3.45	49.08684567469209	11.412092062394219	6.120870650547315
3.55	40.5797697964241	8.088824010839184	0.0
3.65	57.54283037802866	12.747025231841645	8.202718904879251
3.75	46.73522361623109	9.667550933034512	2.589900400420022
3.85	61.56717844752731	16.049079962670657	4.916374209234101
3.95	70.22510789718648	8.711215048122513	9.33860819231555
4.05	55.66881120976114	20.71215213117894	11.101217499884056
4.15	89.04260563525916	15.775121411320121	16.918842368161577
4.25	54.574309577812386	28.222585371745403	8.066806596831336
4.35	98.40242644783837	23.334284958266718	23.105503607609958
4.45	108.7956715245551	24.013777376624446	14.71284636305504
4.55	118.14837786934558	22.978217463948603	12.31703129559554
4.65	126.62353882828504	29.858857020101887	13.470738164669768
4.75	142.3999195589473	40.65413961090135	24.221127831860223
4.85	172.31174647015246	37.56562545601118	18.584933199284016
4.95	186.27203524851214	34.665298131596806	28.254098634231454
5.05	193.26687062382942	42.63403926964491	31.426336418395145
5.15	200.9630509785734	58.927809950312856	39.833789452478086
5.25	249.03800192465746	55.49104738982914	39.66669729745746
5.35	267.89478453057984	49.86723491706819	40.74148725471038
5.45	263.04827202166285	86.94669390150229	40.48974462164438
5.55	325.93753016865173	80.54401230986126	46.12519999414991
5.65	368.28186143203635	80.92841223564128	46.79511836845912
5.75	475.9512804020058	96.64398622344571	63.919591616958876
5.85	489.6569069876053	103.28356846678227	71.34412639338454
5.95	516.6472016357242	105.63082620893658	86.46403236913342
6.05	520.723268295384	127.23762687656016	118.47241129655266
