R Rg
0.05 0.0
0.15000000000000002 0.0
0.25 0.0
0.35000000000000003 0.0
0.45 0.0
0.55 0.0
0.65 0.0
0.75 0.0
0.8500000000000001 0.0
0.9500000000000001 0.0
1.05 0.0
1.1500000000000001 0.0
1.25 0.0
1.35 0.0
1.4500000000000002 0.0
1.55 0.0
1.6500000000000001 0.0
1.75 0.0
1.85 0.0
1.9500000000000002 0.0
2.0500000000000003 0.0
2.15 0.0
2.25 0.0
2.35 0.0
2.45 0.0
2.5500000000000003 0.0
2.6500000000000004 0.0
2.75 0.0
2.85 0.0
2.95 0.0
3.0500000000000003 0.0
3.1500000000000004 0.0
3.25 0.0
3.35 0.0
3.45 0.0
3.5500000000000003 0.0
3.6500000000000004 0.0
3.75 0.0
3.85 0.0
3.95 0.0
4.05 0.0
4.15 0.0
4.25 0.0
4.3500000000000005 0.0
4.45 0.0
4.55 0.0
4.65 0.0
4.75 0.0
4.8500000000000005 0.0
4.95 0.0
5.050000000000001 0.0
5.15 0.0
5.25 0.0
5.3500000000000005 0.0
5.45 0.0
5.550000000000001 0.0
5.65 0.0
5.75 0.0
5.8500000000000005 0.0
5.95 0.0
6.050000000000001 0.0
6.15 0.0
6.25 0.0
6.3500000000000005 0.0
6.45 0.0
6.550000000000001 0.0
6.65 0.0
6.75 0.0
6.8500000000000005 0.0
6.95 0.0
7.050000000000001 0.0
7.15 0.0
7.25 0.0
7.3500000000000005 0.0
7.45 0.0
7.550000000000001 0.0
7.65 0.0
7.75 0.0
7.8500000000000005 0.0
7.95 0.0
8.05 0.0
8.15 0.0
8.25 0.0
8.35 0.0
8.450000000000001 0.0
8.55 0.0
8.65 0.0
8.75 0.0
8.85 0.0
8.950000000000001 0.0
9.05 0.0
9.15 0.0
9.25 0.0
9.35 0.0
9.450000000000001 0.0
9.55 0.0
9.65 0.0
9.75 0.0
9.850000000000001 0.0
9.950000000000001 0.0
10.05 0.0
10.15 0.0
10.25 0.0
10.350000000000001 0.0
10.450000000000001 0.0
10.55 0.0
10.65 0.0
10.75 0.0
10.850000000000001 0.0
10.950000000000001 0.0
11.05 0.0
11.15 0.0
11.25 0.0
11.350000000000001 0.0
11.450000000000001 0.0
11.55 0.0
11.65 0.0
11.75 0.0
11.850000000000001 0.0
11.950000000000001 0.0
12.05 0.0
12.15 0.0
12.25 0.0
12.350000000000001 0.0
12.450000000000001 0.0
12.55 0.0
12.65 0.0
12.75 0.0
12.850000000000001 0.0
12.950000000000001 0.0
13.05 0.0
13.15 0.0
13.25 0.0
13.350000000000001 0.0
13.450000000000001 0.0
13.55 0.0
13.65 0.0
13.75 0.0
13.850000000000001 0.0
13.950000000000001 0.0
14.05 0.0
14.15 0.0
14.25 0.0
14.350000000000001 0.0
14.450000000000001 0.0
14.55 0.0
14.65 0.0
14.75 0.0
14.850000000000001 0.0
14.950000000000001 0.0
15.05 0.0
15.15 0.0
15.25 0.0
15.350000000000001 0.0
15.450000000000001 0.0
15.55 0.0
15.65 0.0
15.75 0.0
15.850000000000001 0.0
15.950000000000001 0.0
16.05 0.0
16.150000000000002 0.0
16.25 0.0
16.35 0.0
16.45 0.0
16.55 0.0
16.650000000000002 0.0
16.75 0.0
16.85 0.0
16.95 0.0
17.05 0.0
17.150000000000002 0.0
17.25 0.0
17.35 0.0
17.45 0.0
17.55 0.0
17.650000000000002 0.0
17.75 0.0
17.85 0.0
17.95 0.0
18.05 0.0
18.150000000000002 0.0
18.25 0.0
18.35 0.0
18.45 0.0
18.55 0.0
18.650000000000002 0.0
18.75 0.0
18.85 0.0
18.95 0.0
19.05 0.0
19.150000000000002 0.0
19.25 0.0
19.35 0.0
19.450000000000003 0.0
19.55 0.0
19.650000000000002 0.0
19.75 0.0
19.85 0.0
19.950000000000003 0.0
20.05 0.0
20.150000000000002 0.0
20.25 0.0
20.35 0.0
20.450000000000003 0.0
20.55 0.0
20.650000000000002 0.0
20.75 0.0
20.85 0.0
20.950000000000003 0.0
21.05 0.0
21.150000000000002 0.0
21.25 0.0
21.35 0.0
21.450000000000003 0.0
21.55 0.0
21.650000000000002 0.0
21.75 0.0
21.85 0.0
21.950000000000003 0.0
22.05 0.0
22.150000000000002 0.0
22.25 0.0
22.35 0.0
22.450000000000003 0.0
22.55 0.0
22.650000000000002 0.0
22.75 0.0
22.85 0.0
22.950000000000003 0.0
23.05 0.0
23.150000000000002 0.0
23.25 0.0
23.35 0.0
23.450000000000003 0.0
23.55 0.0
23.650000000000002 0.0
23.75 0.0
23.85 0.0
23.950000000000003 0.0
24.05 0.0
24.150000000000002 0.0
24.25 0.0
24.35 0.0
24.450000000000003 0.0
24.55 0.0
24.650000000000002 0.0
24.75 0.0
24.85 0.0
24.950000000000003 0.0
25.05 0.0
25.150000000000002 0.0
25.25 0.0
25.35 0.0
25.450000000000003 0.0
25.55 0.0
25.650000000000002 0.0
25.75 0.0
25.85 0.0
25.950000000000003 0.0
26.05 0.0
26.150000000000002 0.0
26.25 0.0
26.35 0.0
26.450000000000003 0.0
26.55 0.0
26.650000000000002 0.0
26.75 0.0
26.85 0.0
26.950000000000003 0.0
27.05 0.0
27.150000000000002 0.0
27.25 0.0
27.35 0.0
27.450000000000003 0.0
27.55 0.0
27.650000000000002 0.0
27.75 0.0
27.85 0.0
27.950000000000003 0.0
28.05 0.0
28.150000000000002 0.0
28.25 0.0
28.35 0.0
28.450000000000003 0.0
28.55 0.0
28.650000000000002 0.0
28.75 0.0
28.85 0.0
28.950000000000003 0.0
29.05 0.0
29.150000000000002 0.0
29.25 0.0
29.35 0.0
29.450000000000003 0.0
29.55 0.0
29.650000000000002 0.0
29.75 0.0
29.85 0.0
29.950000000000003 0.0
30.05 0.0
30.150000000000002 0.0
30.25 0.0
30.35 0.0
30.450000000000003 0.0
30.55 0.0
30.650000000000002 0.0
30.75 0.0
30.85 0.0
30.950000000000003 0.0
31.05 0.0
31.150000000000002 0.0
31.25 0.0
31.35 0.0
31.450000000000003 0.0
31.55 0.0
31.650000000000002 0.0
31.75 0.0
31.85 0.0
31.950000000000003 0.0
32.050000000000004 0.0
32.15 0.0
32.25 0.0
32.35 0.0
32.45 0.0
32.550000000000004 0.0
32.65 0.0
32.75 0.0
32.85 0.0
32.95 0.0
33.050000000000004 0.0
33.15 0.0
33.25 0.0
33.35 0.0
33.45 0.0
33.550000000000004 0.0
33.65 0.0
33.75 0.0
33.85 0.0
33.95 0.0
34.050000000000004 0.0
34.15 0.0
34.25 0.0
34.35 0.0
34.45 0.059880352438009744
34.550000000000004 0.08929562121958663
34.65 0.059188247343404915
34.75 0.0588480859413275
34.85 0.029254924332842828
34.95 0.1745391551977487
35.050000000000004 0.14465791351007476
35.15 0.28769294757961156
35.25 0.5722139896047562
35.35 0.2560010373826916
35.45 0.5940483533294754
35.550000000000004 0.7033983735554561
35.65 0.6433141645914997
35.75 0.9455805406961653
35.85 1.2169247937511631
35.95 1.3201960178612746
36.050000000000004 1.559206349583587
36.15 2.039896365658623
36.25 2.218042396302698
36.35 2.6098184125426864
36.45 3.451895142411614
36.550000000000004 3.8321039350058497
36.65 4.34074489473732
36.75 5.185689989361304
36.85 5.55022387985731
36.95 6.7183865450631375
37.050000000000004 6.785776411919619
37.15 8.70671352874314
37.25 9.608837278269485
37.35 10.092449175075775
37.45 11.483228037319465
37.550000000000004 12.506867255593965
37.65 14.422131126737561
37.75 15.419276811852
37.85 17.272001821257703
37.95 17.355591882147813
38.050000000000004 18.370310796137844
38.15 21.498098340224
38.25 20.996932604584444
38.35 23.88547322208328
38.45 25.662344247918494
38.550000000000004 27.107706942671197
38.650000000000006 27.753720551779598
38.75 28.723776698065688
38.85 31.56866668980026
38.95 32.53085679758966
39.050000000000004 33.182049606880376
39.150000000000006 36.26124037876826
39.25 36.19225862868617
39.35 36.443265703519074
39.45 36.99044016774602
39.550000000000004 40.62406173114823
39.650000000000006 39.87449890379793
39.75 42.355010838407196
39.85 42.61255495643851
39.95 41.75291261346563
40.050000000000004 42.1656432826225
40.150000000000006 43.36727366516554
40.25 45.3928860859176
40.35 43.39752770799557
40.45 43.07507139904772
40.550000000000004 43.31764543675837
40.650000000000006 45.12609468525329
40.75 43.81416840574008
40.85 43.08887352766831
40.95 43.53621140608949
41.050000000000004 43.220312157238205
41.150000000000006 43.34526727978883
41.25 41.9863016426926
41.35 41.90752389413578
41.45 37.153101745420294
41.550000000000004 38.99345307868792
41.650000000000006 37.5566555687542
41.75 35.41701803092081
41.85 34.94445186544974
41.95 33.8691581248203
42.050000000000004 31.67656823104545
42.150000000000006 29.946144636930725
42.25 29.604681420556474
42.35 28.592024758031464
42.45 25.47804040698209
42.550000000000004 24.101855598160462
42.650000000000006 23.205580925780506
42.75 22.009166949085667
42.85 21.169774750358346
42.95 18.680706763710496
43.050000000000004 17.88422102866915
43.150000000000006 17.877382772571888
43.25 15.361904044401918
43.35 15.233783139749187
43.45 13.186450548867096
43.550000000000004 12.919988070005639
43.650000000000006 11.330153388936584
43.75 10.070930103708012
43.85 8.860023947076941
43.95 8.506032633501073
44.050000000000004 7.075023822800144
44.150000000000006 7.079749597849291
44.25 6.139271455401261
44.35 5.389089889348185
44.45 3.923632188163463
44.550000000000004 4.229221690487752
44.650000000000006 3.193697714681087
44.75 2.6109104585132896
44.85 2.563818034460015
44.95 1.918668897220729
45.050000000000004 1.506894545859934
45.150000000000006 1.3608954060776428
45.25 1.2680726141415815
45.35 0.8646235821385905
45.45 0.7575500653802619
45.550000000000004 0.42856523621457876
45.650000000000006 0.4949970993190664
45.75 0.2888550780009009
45.85 0.16918726327315814
45.95 0.18530757430233194
46.050000000000004 0.1174490389205995
46.150000000000006 0.15013253975287355
46.25 0.03323301414072338
46.35 0.049676581379630685
46.45 0.016481380551667084
46.550000000000004 0.0
46.650000000000006 0.01635770093493341
46.75 0.0
46.85 0.0
46.95 0.0
47.050000000000004 0.0
47.150000000000006 0.0
47.25 0.0
47.35 0.0
47.45 0.0
47.550000000000004 0.0
47.650000000000006 0.0
47.75 0.0
47.85 0.0
47.95 0.0
48.050000000000004 0.0
48.150000000000006 0.0
48.25 0.0
48.35 0.0
48.45 0.0
48.550000000000004 0.0
48.650000000000006 0.0
48.75 0.0
48.85 0.0
48.95 0.0
49.050000000000004 0.0
49.150000000000006 0.0
49.25 0.0
49.35 0.0
49.45 0.0
49.550000000000004 0.0
49.650000000000006 0.0
49.75 0.0
49.85 0.0
49.95 0.0
50.050000000000004 0.0
50.150000000000006 0.0
50.25 0.0
50.35 0.0
50.45 0.0
50.550000000000004 0.0
50.650000000000006 0.0
50.75 0.0
50.85 0.0
50.95 0.0
51.050000000000004 0.0
51.150000000000006 0.0
51.25 0.0
51.35 0.0
51.45 0.0
51.550000000000004 0.0
51.650000000000006 0.0
51.75 0.0
51.85 0.0
